Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Brand,Car_Age,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
0.006281549868465771,0.692605633802817,0.17826572385560102,0.17767477790652764,5.0,12.5,10,0.19047619047619047,True,False,False,True,True,False,False,False
0.0070508008749153245,0.45774647887323944,0.1069966505396353,0.10525299343375821,5.0,4.5,9,0.380952380952381,False,True,False,True,True,False,False,False
0.013358659127801669,0.731338028169014,0.11611462597692594,0.10536886828891465,7.0,6.0,17,0.3333333333333333,True,False,False,True,True,False,False,False
0.0062307793020401,0.5352112676056338,0.25009304056568665,0.2058709926612592,5.0,17.74,1,0.28571428571428564,True,False,True,False,False,False,True,False
0.01335850527760038,0.8126760563380282,0.1557499069594343,0.055813055233680964,5.0,3.5,21,0.28571428571428564,True,False,False,True,True,False,False,False
0.005512298862016216,0.4,0.39653889095645706,0.2651602935496331,8.0,17.5,26,0.14285714285714285,True,False,True,False,True,False,False,False
0.009886260084688382,0.7232394366197183,0.18124302195757352,0.13402858246427193,5.0,5.2,27,0.28571428571428564,True,False,False,True,True,False,False,False
0.010117343087025828,0.7852112676056339,0.11611462597692594,0.0768636539204326,5.0,1.95,25,0.3333333333333333,True,False,False,True,False,False,True,False
0.003926410987119815,0.7591549295774648,0.1559359880908076,0.13335264580919276,5.0,9.95,17,0.047619047619047616,False,True,False,True,True,False,False,False
0.009204703692974077,0.591549295774648,0.16244882768887237,0.1585554268057165,5.0,4.49,9,0.3333333333333333,False,True,True,False,True,False,False,False
0.009885336983480642,0.8873239436619719,0.11611462597692594,0.0768636539204326,5.0,5.6,17,0.19047619047619047,True,False,False,True,True,False,False,False
0.011050906108453006,0.4471830985915493,0.28935615928544844,0.29644650444186943,5.0,27.0,15,0.23809523809523808,True,False,True,False,True,False,False,False
0.013050958725221848,0.0,0.28935615928544844,0.15604480494399384,5.0,17.5,15,0.3333333333333333,True,False,True,False,False,False,True,False
0.01689721375746962,0.47535211267605637,0.34480833643468556,0.2730011587485516,7.0,15.0,20,0.23809523809523808,True,False,False,True,True,False,False,False
0.00904316098161967,0.9084507042253522,0.16263490882024562,0.12437234453456933,5.0,5.4,9,0.14285714285714285,True,False,False,True,True,False,False,False
0.0038199466478271962,1.0,0.11611462597692594,0.0768636539204326,5.0,5.99,17,0.09523809523809523,True,False,False,True,True,False,False,False
0.011892312859307528,0.7200704225352113,0.1557499069594343,0.09578988026264967,5.0,6.34,23,0.23809523809523808,True,False,False,True,True,False,False,False
0.012050932416837428,0.5225352112676056,0.28265723855601044,0.2576670529161839,5.0,28.0,18,0.23809523809523808,True,False,True,False,True,False,False,False
0.005047978954523265,0.7989436619718311,0.2551172311127652,0.30088837388953266,5.0,18.55,2,0.23809523809523808,True,False,True,False,True,False,False,False
0.008495761965430167,0.8327464788732394,0.11611462597692594,0.10486674391657011,5.0,8.25,17,0.19047619047619047,True,False,False,True,False,False,True,False
0.008586995134795085,0.47640845070422533,0.2530703386676591,0.27580146774816533,5.0,23.5,1,0.19047619047619047,False,True,True,False,True,False,False,False
0.007021107786066372,0.6514084507042254,0.10662448827688874,0.08845113943607572,5.0,1.87,10,0.42857142857142855,False,True,False,True,True,False,False,False
0.005050748258146483,0.5070422535211268,0.18124302195757352,0.13402858246427193,5.0,2.85,27,0.42857142857142855,False,True,True,False,True,False,False,False
0.007961594066551596,0.591549295774648,0.16244882768887237,0.1585554268057165,5.0,4.25,9,0.3333333333333333,False,True,False,True,True,False,False,False
0.008281602485234612,0.5802816901408451,0.1557499069594343,0.055813055233680964,5.0,4.25,21,0.3333333333333333,True,False,False,True,True,False,False,False
0.008281602485234612,0.7366197183098593,0.06959434313360625,0.06353804557744303,5.0,2.75,17,0.28571428571428564,False,True,False,True,False,False,True,False
0.005732304649860789,0.6161971830985916,0.1069966505396353,0.10525299343375821,5.0,9.9,9,0.047619047619047616,False,True,False,True,True,False,False,False
0.04028244435353607,0.45070422535211274,0.34797171566803126,0.1309385863267671,7.0,4.0,26,0.5714285714285714,True,False,False,True,False,True,False,False
0.009512404095553898,0.6693661971830986,0.1557499069594343,0.14339513325608344,5.0,7.75,23,0.28571428571428564,True,False,False,True,True,False,False,False
0.013453277001594965,0.5116197183098592,0.21845924823222923,0.20065662417921976,5.0,6.75,26,0.3333333333333333,False,True,False,True,True,False,False,False
0.011050906108453006,0.39366197183098595,0.3855601042054336,0.28930088837388956,7.0,12.5,16,0.28571428571428564,True,False,True,False,False,False,True,False
